lsoa,names,lone_parent_household,young_pepople_percent,ethnic_black,tenure_mortgage_loan,tenure_social,no_qualifications,level_4_qualifications_above,no_cars,cars_per_household,median_annual_household_income,ptal_average,cluster_id
E01000156,Barnet 022A,11.3,0.2,5.9,33.7,6.3,11.3,50.6,29.8,0.9,37543.00 ,3.1,0
E01000157,Barnet 022B,13.9,0.2,6.4,35.3,12.8,13.4,45.3,38.5,0.8,30517.00 ,2.4,2
E01000163,Barnet 022C,19.1,0.21,13.7,27,32.3,17.9,31,45.2,0.6,25001.00 ,2,2
E01000164,Barnet 022D,21.6,0.22,11.2,27.5,29.3,20.7,34,40.9,0.8,26649.00 ,2.9,0
E01000165,Barnet 022E,12,0.19,6.7,38.2,4,12.3,41.1,20.4,1.2,34274.00 ,3.1,0
E01000315,Barnet 022F,24.9,0.19,10.1,24.6,48,25.8,22.5,34,0.9,24804.00 ,2.5,0
E01000197,Barnet 023A,7.8,0.23,4.8,27.4,1.7,10.3,48.4,32.4,1,36214.00 ,3.2,0
E01000295,Barnet 023B,5.7,0.19,4,27.1,3.2,10.9,51.9,32.4,0.9,41493.00 ,4.1,0
E01000296,Barnet 023C,9.7,0.21,3.9,22.1,5.6,9.1,53.2,34.6,0.8,35518.00 ,4.5,1
E01000298,Barnet 023D,8.9,0.24,3.3,23.9,7.6,13.7,47.8,35.3,0.9,34473.00 ,4,0
E01000125,Barnet 024A,18.9,0.22,18.1,25.1,31.1,24.6,25.8,42.7,0.7,22610.00 ,3.6,0
E01000127,Barnet 024B,21.6,0.21,17.7,28.2,43.2,24.1,24.8,42,0.8,22342.00 ,4.4,0
E01000128,Barnet 024C,22,0.2,16.2,29.8,30,24.8,22.9,34.5,0.9,24121.00 ,4.1,0
E01000129,Barnet 024D,22,0.21,13.1,18.1,42.1,28.7,19.3,54.6,0.6,21456.00 ,5,1
E01000131,Barnet 024E,12.5,0.22,10.2,28.5,12.3,20,29.6,33.3,1,27688.00 ,3.1,0
E01000134,Barnet 024F,18.6,0.21,18.3,27,30.6,22.5,27.1,40.5,0.8,24368.00 ,3.5,0
E01000198,Barnet 025A,7.7,0.17,6.1,46.4,0.4,11.1,48.4,13.7,1.4,42406.00 ,1.8,2
E01000199,Barnet 025B,4.5,0.13,3.3,30.1,0.9,13.5,50.7,12.8,1.4,49411.00 ,1.9,2
E01000204,Barnet 025C,6.7,0.2,3.3,30.6,10.2,11.6,53,24,1.2,44374.00 ,3.6,0
E01000259,Barnet 025D,11,0.18,5.8,37.4,7.2,12.2,42.6,16.7,1.2,35637.00 ,1.9,2
E01000260,Barnet 025E,13.1,0.21,11.9,38,6.6,13.4,38.6,20.9,1.2,31725.00 ,1.8,2
E01000126,Barnet 026A,21.8,0.23,26.8,13.9,46,18.6,28.4,36,0.9,21931.00 ,2.4,2
E01000151,Barnet 026B,23.8,0.2,35.8,10.7,75,21.3,25.4,55.4,0.5,19596.00 ,2.2,2
E01000152,Barnet 026C,34.6,0.21,32.4,10.8,69.5,19.3,22.9,41.8,0.7,20762.00 ,1.4,2
E01000153,Barnet 026D,22.7,0.2,25.4,12.1,68.7,27.3,22.7,46,0.7,21519.00 ,1.3,2
E01000154,Barnet 026E,19.6,0.21,27.6,16.4,54.1,21.7,25.7,47.7,0.7,20336.00 ,2.9,0
E01000176,Barnet 027A,16.9,0.18,10,18.3,55.6,23.6,31.1,41.5,0.8,25845.00 ,2,2
E01000178,Barnet 027B,7.6,0.19,4.2,28.1,14.5,13.7,50.8,34.4,0.9,40477.00 ,3,0
E01000184,Barnet 027C,18.7,0.19,20.4,19.3,51.3,23.7,28.7,39,0.9,24821.00 ,1.9,2
E01000297,Barnet 027D,9.7,0.23,7.2,33.2,8.1,14.8,43.2,28,1,30940.00 ,2.7,0
E01000316,Barnet 027E,15,0.25,10.6,29.7,13,12,44.4,28.9,1,29890.00 ,2.7,0
E01000319,Barnet 027F,11.3,0.18,3,40.1,9.3,14.1,44.7,21.7,1.1,40706.00 ,2.8,0
E01000196,Barnet 028A,7,0.22,4.9,14.3,2.1,13.3,48,43.1,0.7,32634.00 ,4.4,1
E01000200,Barnet 028B,7,0.15,4.4,22.9,4.5,14.2,47.8,25.7,1.1,42876.00 ,3.1,0
E01000201,Barnet 028C,4.6,0.18,4.3,33.3,1.4,10.7,47.5,11,1.7,57869.00 ,2.6,0
